title,type,question,A,B,C,D,answer,image
Praktik Galus UASA Geografi T1 Bab 8,radio,F1 Bab 8,A,B,C,D,C,Galus/Picture31.png
,radio,F1 Bab 8,A,B,C,D,A,Galus/Picture32.png
,radio,F1 Bab 8,A,B,C,D,D,Galus/Picture33.png
,radio,F1 Bab 8,A,B,C,D,A,Galus/Picture34.png
,radio,F1 Bab 8,A,B,C,D,C,Galus/Picture35.png
,radio,F1 Bab 8,A,B,C,D,A,Galus/Picture36.png
,radio,F1 Bab 8,A,B,C,D,A,Galus/Picture37.png
,radio,F1 Bab 8,A,B,C,D,B,Galus/Picture38.png
,radio,F1 Bab 8,A,B,C,D,C,Galus/Picture39.png
,radio,F1 Bab 8,A,B,C,D,B,Galus/Picture40.png
